date,close
1991-04-03,988.1088
1991-04-04,983.2273
1991-04-05,978.4453
1991-04-08,968.8018
1991-04-09,964.0183
1991-04-10,959.2242
1991-04-11,954.4296
1991-04-12,949.7644
1991-04-15,940.4865
1991-04-16,935.94
1991-04-17,931.3929
1991-04-18,926.8454
1991-04-19,922.2972
1991-04-22,913.145
1991-04-23,908.5955
1991-04-24,904.1755
1991-04-25,899.7551
1991-04-26,895.3241
1991-04-29,886.4377
1991-04-30,882.0354
1991-05-02,877.6726
1991-05-03,873.3093
1991-05-06,864.5397
1991-05-07,860.2953
1991-05-08,856.0603
1991-05-09,851.8249
1991-05-10,847.5889
1991-05-13,839.0655
1991-05-14,836.461
1991-05-15,834.0365
1991-05-16,831.6017
1991-05-17,829.3068
1991-05-20,824.2965
1991-05-21,821.8206
1991-05-22,819.3444
1991-05-23,815.3447
1991-05-24,811.3545
1991-05-27,803.3049
1991-05-28,799.8448
1991-05-29,796.5145
1991-05-30,793.1738
1991-05-31,789.8327
1991-06-03,783.1127
1991-06-04,779.7706
1991-06-05,776.4382
1991-06-06,773.3861
1991-06-07,770.3235
1991-06-10,735.7622
1991-06-11,758.7318
1991-06-12,755.3168
1991-06-13,748.2004
1991-06-14,737.9636
1991-06-17,723.2918
1991-06-18,723.5455
1991-06-19,719.696
1991-06-20,712.5051
1991-06-21,706.8183
1991-06-24,692.1904
1991-06-25,692.5326
1991-06-26,696.4576
1991-06-27,697.4424
1991-06-28,693.9811
1991-07-01,686.5949
1991-07-02,672.7234
1991-07-03,671.6693
1991-07-04,664.2302
1991-07-05,655.0032
1991-07-08,631.016
1991-07-09,614.5263
1991-07-10,617.505
1991-07-11,610.8638
1991-07-12,605.6278
1991-07-15,596.9865
1991-07-16,587.4502
1991-07-17,579.3492
1991-07-18,611.6886
1991-07-19,619.5807
1991-07-22,604.5784
1991-07-23,604.755
1991-07-24,601.6864
1991-07-25,597.502
1991-07-26,588.8957
1991-07-29,582.6199
1991-07-30,580.0617
1991-07-31,581.3726
1991-08-01,582.3118
1991-08-02,580.9795
1991-08-05,581.2352
1991-08-06,579.9127
1991-08-07,579.4445
1991-08-08,577.6592
1991-08-09,575.9642
1991-08-12,575.9884
1991-08-13,574.625
1991-08-14,573.7943
1991-08-15,571.988
1991-08-16,574.285
1991-08-19,460.7215
1991-08-20,451.7763
1991-08-21,448.6747
1991-08-22,439.9188
1991-08-23,438.3051
1991-08-26,444.1467
1991-08-27,439.8163
1991-08-28,438.806
1991-08-29,438.1478
1991-08-30,436.5637
1991-09-02,434.5969
1991-09-03,432.1468
1991-09-04,428.8106
1991-09-05,422.3837
1991-09-06,405.2147
1991-09-09,412.5478
1991-09-10,413.257
1991-09-11,420.4202
1991-09-12,421.9657
1991-09-13,421.4571
1991-09-16,416.7995
1991-09-17,415.4647
1991-09-18,413.9585
1991-09-19,411.1529
1991-09-20,410.5327
1991-09-23,411.4537
1991-09-24,409.9973
1991-09-25,412.1071
1991-09-26,413.4314
