date,open,close,high,low,volume,amount,turn,pctChg
1990-12-19,96.0500,99.9800,99.9800,95.7900,1260,494000.0000,0.000000,0.000000
1990-12-20,104.3000,104.3900,104.3900,99.9800,19700,84992.0000,0.000000,0.000000
1990-12-21,109.0700,109.1300,109.1300,103.7300,2800,16096.0000,0.000000,4.540663
1990-12-24,113.5700,114.5500,114.5500,109.1300,3200,31063.0000,0.000000,4.966559
1990-12-25,120.0900,120.2500,120.2500,114.5500,1500,6510.0000,0.000000,4.975990
1990-12-26,125.2700,125.2700,125.2700,120.2500,10000,53730.0000,0.000000,4.174634
1990-12-27,125.2700,125.2800,125.2800,125.2700,6600,104644.0000,0.000000,0.007984
1990-12-28,126.3900,126.4500,126.4500,125.2800,10800,88031.0000,0.000000,0.933907
1990-12-31,126.5600,127.6100,127.6100,126.4800,7800,60030.0000,0.000000,0.917362
1991-01-02,127.6100,128.8400,128.8400,127.6100,9100,59098.0000,0.000000,0.963871
1991-01-03,128.8400,130.1400,130.1400,128.8400,14100,93918.0000,0.000000,1.009006
1991-01-04,131.2700,131.4400,131.4400,130.1400,42000,261904.0000,0.000000,0.998927
1991-01-07,131.9900,132.0600,132.0600,131.4500,21700,141737.0000,0.000000,0.471694
1991-01-08,132.6200,132.6800,132.6800,132.0600,292600,1806867.0000,0.000000,0.469480
1991-01-09,133.3000,133.3400,133.3400,132.6800,560300,3228719.0000,0.000000,0.497440
1991-01-10,133.9300,133.9700,133.9700,133.3400,999000,5399457.0000,0.000000,0.472480
1991-01-11,134.6100,134.6000,134.6100,134.5100,1332700,7115732.0000,0.000000,0.470258
1991-01-14,134.1100,134.6700,135.1900,134.1100,1253000,6883604.0000,0.000000,0.052000
1991-01-15,134.2100,134.7400,134.7400,134.1900,144600,1010364.0000,0.000000,0.051984
1991-01-16,134.1900,134.2400,134.7400,134.1400,50900,270133.0000,0.000000,-0.371085
1991-01-17,133.6700,134.2500,134.2500,133.6500,65800,334238.0000,0.000000,0.007445
1991-01-18,133.7000,134.2400,134.2500,133.6700,300400,1570833.0000,0.000000,-0.007445
1991-01-21,133.7000,134.2400,134.2400,133.6600,205100,1029305.0000,0.000000,0.000000
1991-01-22,133.7200,133.7200,134.2400,133.6600,35400,180787.0000,0.000000,-0.387369
1991-01-23,133.1700,133.1700,133.7200,133.1400,109500,575928.0000,0.000000,-0.411309
1991-01-24,132.6100,132.6100,133.1700,132.5700,185700,917392.0000,0.000000,-0.420513
1991-01-25,132.0500,132.0500,132.0700,132.0300,344700,1722246.0000,0.000000,-0.422289
