date,open,close,high,low,volume,amount,turn,pctChg
2002-07-15,1.9156280000,1.8877643200,1.9243354000,1.8720910000,23448328,254515311.0000,3.587261,-1.720000
2002-07-16,1.8929887600,1.8912472800,1.9243354000,1.8790569200,18594602,203553086.0000,2.844710,0.180000
2002-07-17,1.8947302400,1.9208524400,1.9225939200,1.8790569200,8479998,92305411.0000,1.297319,1.570000
2002-07-18,1.9313013200,1.9330428000,1.9539405600,1.9121450400,20092068,223753099.0000,3.073801,0.630000
2002-07-19,1.9417502000,1.9400087200,1.9487161200,1.9156280000,9684195,107533034.0000,1.481544,0.360000
2002-07-22,1.9434916800,1.8616421200,1.9434916800,1.8564176800,21510542,233006983.0000,3.290808,-4.040000
2002-07-23,1.8546762000,1.8790569200,1.9225939200,1.8477102800,18666749,202301214.0000,2.855748,0.940000
2002-07-24,1.8720910000,1.8773154400,1.9034376400,1.8616421200,8015858,86608486.0000,1.226313,-0.090000
2002-07-25,1.8720910000,1.8564176800,1.8895058000,1.8442273200,10470632,111641666.0000,1.601858,-1.110000
2002-07-26,1.8599006400,1.8494517600,1.8703495200,1.8459688000,7678834,81922996.0000,1.174753,-0.375234
2002-07-29,1.8459688000,1.8616421200,1.8633836000,1.8285540000,8736892,92498906.0000,1.336620,0.660000
2002-07-30,1.8720910000,1.9069206000,1.9417502000,1.8616421200,33096969,361697367.0000,5.063367,2.430000
2002-07-31,1.8964717200,1.8633836000,1.9243354000,1.8546762000,14637918,159111273.0000,2.239394,-2.280000
2002-08-01,1.8616421200,1.8686080400,1.8825398800,1.8442273200,6501091,69443717.0000,0.994575,0.280000
2002-08-02,1.8738324800,1.8686080400,1.8807984000,1.8546762000,3755525,40261575.0000,0.574542,0.000000
2002-08-05,1.8686080400,1.8320369600,1.8686080400,1.8302954800,5849596,61924219.0000,0.894905,-1.960000
2002-08-06,1.8285540000,1.8390028800,1.8860228400,1.8041732800,13136811,139434080.0000,2.009746,0.380000
2002-08-07,1.8390028800,1.8459688000,1.8616421200,1.8320369600,8028176,85042728.0000,1.228197,0.380000
2002-08-08,1.8546762000,1.8546762000,1.8895058000,1.8494517600,14410144,154749354.0000,2.204548,0.470000
2002-08-09,1.8459688000,1.8337784400,1.8564176800,1.8337784400,10941629,115834566.0000,1.673914,-1.130000
2002-08-12,1.7972073600,1.8006903200,1.8181051200,1.7832755200,60520478,624023407.0000,7.685663,-1.800000
2002-08-13,1.8006903200,1.8006903200,1.8302954800,1.7902414400,15877898,164963341.0000,2.016378,0.000000
2002-08-14,1.8041732800,1.8215880800,1.8285540000,1.8041732800,8680932,90676674.0000,1.102416,1.160000
2002-08-15,1.8215880800,1.8181051200,1.8320369600,1.8093977200,6382901,66765253.0000,0.810582,-0.190000
2002-08-16,1.8146221600,1.8181051200,1.8372614000,1.7919829200,12814339,133810306.0000,1.627328,0.000000
2002-08-19,1.8215880800,1.8390028800,1.8599006400,1.8041732800,11227906,118801544.0000,1.425863,1.150000
2002-08-20,1.8407443600,1.9016961600,1.9225939200,1.8407443600,38149219,414593204.0000,4.844675,3.410000
2002-08-21,1.9034376400,1.8929887600,1.9191109600,1.8912472800,16215953,177359948.0000,2.059309,-0.460000
2002-08-22,1.8947302400,1.8964717200,1.9191109600,1.8877643200,21519626,235240919.0000,2.732837,0.180000
2002-08-23,1.8964717200,1.9016961600,1.9243354000,1.8929887600,13680119,149877585.0000,1.737276,0.280000
2002-08-26,1.9016961600,1.8738324800,1.9086620800,1.8686080400,10506530,113568984.0000,1.334253,-1.470000
2002-08-27,1.8686080400,1.8807984000,1.9069206000,1.8651250800,11481583,124134413.0000,1.458078,0.370000
2002-08-28,1.8807984000,1.8877643200,1.9069206000,1.8720910000,8661100,93863555.0000,1.099897,0.370000
2002-08-29,1.8877643200,1.8790569200,1.9069206000,1.8755739600,7463258,80791865.0000,0.947780,-0.460000
2002-08-30,1.8877643200,1.8825398800,1.8912472800,1.8773154400,5432107,58690029.0000,0.689838,0.190000
2002-09-02,1.8651250800,1.8790569200,1.8912472800,1.8651250800,3848818,41425559.0000,0.488772,-0.190000
2002-09-03,1.8807984000,1.9051791200,1.9051791200,1.8807984000,8212924,89472421.0000,1.042982,1.390000
2002-09-04,1.9069206000,1.8877643200,1.9121450400,1.8860228400,6324375,68694146.0000,0.803150,-0.910000
2002-09-05,1.8825398800,1.8494517600,1.8825398800,1.8424858400,15040376,160328874.0000,1.910019,-2.030000
2002-09-06,1.8459688000,1.8146221600,1.8494517600,1.8111392000,10876882,114196799.0000,1.381285,-1.880000
2002-09-09,1.8041732800,1.8059147600,1.8146221600,1.7954658800,7814809,81058055.0000,0.992424,-0.480000
2002-09-10,1.8059147600,1.8076562400,1.8250710400,1.8041732800,3131134,32544129.0000,0.397631,0.100000
2002-09-11,1.8111392000,1.7989488400,1.8233295600,1.7588948000,13656652,140278842.0000,1.734296,-0.480000
2002-09-12,1.7989488400,1.7954658800,1.8146221600,1.7850170000,2574361,26584099.0000,0.326925,-0.190000
2002-09-13,1.7989488400,1.8041732800,1.8128806800,1.7937244000,2438676,25296299.0000,0.309694,0.480000
2002-09-16,1.8041732800,1.7536703600,1.8041732800,1.7432214800,15388084,155332440.0000,1.954175,-2.800000
2002-09-17,1.7536703600,1.7571533200,1.7780510800,1.7414800000,7992153,80666135.0000,1.014946,0.200000
2002-09-18,1.7606362800,1.7571533200,1.7676022000,1.7536703600,3693015,37294675.0000,0.468986,0.000000
2002-09-19,1.7554118400,1.7884999600,1.8093977200,1.7432214800,8901655,90528682.0000,1.130446,1.780000
2002-09-20,1.7902414400,1.7658607200,1.7937244000,1.7606362800,4568128,46543060.0000,0.580119,-1.270000
2002-09-23,1.7588948000,1.7693436800,1.7780510800,1.7571533200,1949610,19768948.0000,0.247586,0.200000
2002-09-24,1.7693436800,1.7797925600,1.7972073600,1.7623777600,4383120,44868218.0000,0.556625,0.590000
2002-09-25,1.7919829200,1.7902414400,1.8024318000,1.7676022000,3752865,38558175.0000,0.476587,0.590000
2002-09-26,1.7884999600,1.7763096000,1.8076562400,1.7745681200,4846309,49808173.0000,0.615446,-0.780000
2002-09-27,1.7763096000,1.7554118400,1.7954658800,1.7414800000,9888852,100214416.0000,1.255813,-1.180000
2002-10-08,1.7484459200,1.7414800000,1.7676022000,1.7258066800,4181785,41816802.0000,0.531056,-0.790000
2002-10-09,1.7414800000,1.6892356000,1.7414800000,1.6857526400,6354635,62173515.0000,0.806993,-3.000000
2002-10-10,1.6874941200,1.6665963600,1.7049089200,1.6596304400,3331764,32145904.0000,0.423110,-1.340000
2002-10-11,1.6718208000,1.6561474800,1.6840111600,1.6456986000,5922334,56559037.0000,0.752094,-0.630000
2002-10-14,1.6578889600,1.6718208000,1.6857526400,1.6195764000,4730786,44748167.0000,0.600776,0.950000
2002-10-15,1.6700793200,1.6526645200,1.6822696800,1.6509230400,4499647,42934248.0000,0.571423,-1.150000
2002-10-16,1.6544060000,1.6874941200,1.7066504000,1.6544060000,7171308,69588292.0000,0.910704,2.110000
2002-10-17,1.6874941200,1.6787867200,1.6892356000,1.6578889600,4520709,43356854.0000,0.574097,-0.520000
2002-10-18,1.6700793200,1.6840111600,1.6979430000,1.6578889600,3151790,30387261.0000,0.400255,0.310000
2002-10-21,1.6840111600,1.6962015200,1.7066504000,1.6718208000,2054972,19916136.0000,0.260967,0.720000
2002-10-22,1.6962015200,1.7170992800,1.7310311200,1.6962015200,5563446,54825679.0000,0.706517,1.230000
2002-10-23,1.7170992800,1.7066504000,1.7240652000,1.6996844800,4266450,41987363.0000,0.541808,-0.610000
2002-10-24,1.7083918800,1.6979430000,1.7188407600,1.6944600400,1655538,16191534.0000,0.210241,-0.510000
2002-10-25,1.7014259600,1.6840111600,1.7136163200,1.6735622800,3825371,37072630.0000,0.485794,-0.820000
2002-10-28,1.6718208000,1.6596304400,1.6979430000,1.6509230400,6602902,63211326.0000,0.838521,-1.450000
2002-10-29,1.6596304400,1.6753037600,1.6805282000,1.6474400800,2786952,26683803.0000,0.353923,0.940000
2002-10-30,1.6631134000,1.6787867200,1.6840111600,1.6613719200,1668658,16039366.0000,0.211908,0.210000
2002-10-31,1.6787867200,1.6665963600,1.6962015200,1.6631134000,2799611,26998650.0000,0.355530,-0.730000
2002-11-01,1.6700793200,1.6770452400,1.6909770800,1.6613719200,3491723,33607151.0000,0.443424,0.630000
2002-11-04,1.6874941200,1.7118748400,1.7153578000,1.6770452400,5712877,55699607.0000,0.725494,2.080000
2002-11-05,1.7153578000,1.7275481600,1.7501874000,1.7153578000,15260779,151801553.0000,1.938009,0.920000
2002-11-06,1.7292896400,1.7240652000,1.7327726000,1.7188407600,3178330,31444919.0000,0.403625,-0.200000
2002-11-07,1.7292896400,1.7414800000,1.7467044400,1.7240652000,10757768,107368166.0000,1.366159,1.010000
2002-11-08,1.7536703600,1.7136163200,1.7658607200,1.6962015200,12899282,127805876.0000,1.638116,-1.600000
2002-11-11,1.7083918800,1.6857526400,1.7240652000,1.6840111600,3603751,35103348.0000,0.457650,-1.630000
2002-11-12,1.6892356000,1.6962015200,1.7397385200,1.6840111600,14242964,140218634.0000,1.808753,0.620000
2002-11-13,1.6962015200,1.6857526400,1.7031674400,1.6648548800,6844582,66100399.0000,0.869212,-0.620000
2002-11-14,1.6892356000,1.6491815600,1.6944600400,1.6456986000,5732236,54767525.0000,0.727953,-2.170000
2002-11-15,1.6404741600,1.6369912000,1.6805282000,1.6335082400,9145746,86543527.0000,1.161444,-0.740000
2002-11-18,1.6369912000,1.5969371600,1.6526645200,1.5917127200,9283700,85533091.0000,1.178963,-2.450000
2002-11-19,1.5934542000,1.6091275200,1.6160934400,1.5830053200,4085609,37519814.0000,0.518843,0.760000
2002-11-20,1.5986786400,1.5864882800,1.6039030800,1.5812638400,5239305,47950014.0000,0.665354,-1.410000
2002-11-21,1.5847468000,1.5412098000,1.5882297600,1.5342438800,10999904,98338620.0000,1.396908,-2.850000
2002-11-22,1.5464342400,1.5446927600,1.5638490400,1.5237950000,5557863,49304710.0000,0.705808,0.230000
2002-11-25,1.5446927600,1.5499172000,1.5760394000,1.5377268400,3725609,33342373.0000,0.473125,0.340000
2002-11-26,1.5464342400,1.5325024000,1.5655905200,1.5272779600,3262317,28855812.0000,0.414291,-1.120000
2002-11-27,1.5325024000,1.5534001600,1.5603660800,1.5168290800,5267855,46534366.0000,0.668979,1.360000
2002-11-28,1.5673320000,1.5864882800,1.5899712400,1.5499172000,5129366,46298354.0000,0.651392,2.130000
2002-11-29,1.5847468000,1.6039030800,1.6195764000,1.5638490400,12475317,114495353.0000,1.584275,1.100000
2002-12-02,1.6021616000,1.5551416400,1.6021616000,1.5534001600,4452673,40130934.0000,0.565457,-3.040000
2002-12-03,1.5499172000,1.5690734800,1.5760394000,1.5499172000,3083379,27727714.0000,0.391567,0.900000
2002-12-04,1.5812638400,1.5673320000,1.5847468000,1.5621075600,4404350,39805225.0000,0.559321,-0.110000
2002-12-05,1.5499172000,1.5377268400,1.5516586800,1.5290194400,6716868,59325807.0000,0.852994,-1.890000
2002-12-06,1.5325024000,1.5359853600,1.5534001600,1.5290194400,5380583,47524234.0000,0.683295,-0.110000
2002-12-09,1.5359853600,1.5464342400,1.5551416400,1.5290194400,7045001,62434741.0000,0.894664,0.680000
2002-12-10,1.5203120400,1.5133461200,1.5516586800,1.5098631600,54652106,479613330.0000,5.106719,-2.140000
2002-12-11,1.5133461200,1.5063802000,1.5150876000,1.4959313200,14292761,123255460.0000,1.335522,-0.460000
2002-12-12,1.5063802000,1.4976728000,1.5185705600,1.4941898400,11304106,97708347.0000,1.056261,-0.580000
2002-12-13,1.4889654000,1.5133461200,1.5185705600,1.4645846800,11817546,101232866.0000,1.104237,1.050000
2002-12-16,1.5116046400,1.5116046400,1.5237950000,1.5011557600,5393960,46891055.0000,0.504014,-0.120000
