date,open,close,high,low,volume,amount,turn,pctChg
2005-01-04,996.6820,986.9270,996.6820,984.7950,232376203,1329187122.0000,0.000000,0.000000
2005-01-05,986.5700,1003.6330,1008.8550,985.6770,348610113,1919861791.0000,0.000000,1.692728
2005-01-06,1003.4900,994.5950,1003.4900,990.7920,293390559,1629216031.0000,0.000000,-0.900531
2005-01-07,993.4340,997.6060,1009.0000,990.4460,339162698,1906530712.0000,0.000000,0.302741
2005-01-10,996.9280,1006.3370,1006.4570,993.1230,294940533,1650218869.0000,0.000000,0.875191
2005-01-11,1006.2110,1008.3430,1009.5010,999.8600,313611521,1778497883.0000,0.000000,0.199341
2005-01-12,1008.0100,1008.6200,1008.7430,998.3610,319639380,1825638693.0000,0.000000,0.027469
2005-01-13,1008.0980,1013.0700,1014.8410,1005.3480,471573361,2716827481.0000,0.000000,0.441198
2005-01-14,1012.6990,1000.1690,1019.4800,999.2660,401693734,2284638759.0000,0.000000,-1.273456
2005-01-17,990.9870,977.5220,991.0220,974.3330,435860320,2418653726.0000,0.000000,-2.264321
2005-01-18,977.6030,991.4190,991.8390,974.1490,451613258,2523669419.0000,0.000000,1.421659
2005-01-19,991.2910,986.2410,991.2910,981.2270,425524931,2304569213.0000,0.000000,-0.522280
2005-01-20,983.1980,972.4630,983.1980,966.8870,465204848,2588992483.0000,0.000000,-1.397023
2005-01-21,971.5010,988.5190,989.7180,951.4270,618525583,3412342279.0000,0.000000,1.651062
2005-01-24,1009.9470,1008.1750,1009.9470,998.3700,732335514,4105828975.0000,0.000000,1.988430
2005-01-25,1006.0000,999.5530,1006.0000,989.9460,469480344,2651186737.0000,0.000000,-0.855210
2005-01-26,997.6380,987.9550,997.6380,985.6690,411390082,2238628613.0000,0.000000,-1.160315
2005-01-27,986.1460,971.3730,986.1460,970.3540,412321375,2214822674.0000,0.000000,-1.678420
2005-01-28,971.3730,952.4130,971.9410,949.1120,407237328,2106037353.0000,0.000000,-1.951872
2005-01-31,948.4390,922.6530,948.4390,921.5800,409509905,2058937471.0000,0.000000,-3.124696
2005-02-01,919.8000,913.3310,929.6880,911.9330,419974568,2076599356.0000,0.000000,-1.010350
2005-02-02,913.0250,964.2430,964.4230,913.0250,655356622,3522826077.0000,0.000000,5.574319
2005-02-03,963.7460,945.3120,967.9360,944.7640,637130084,3476526549.0000,0.000000,-1.963299
2005-02-04,944.4470,962.0280,963.8100,943.4720,519301391,2874284614.0000,0.000000,1.768305
2005-02-16,967.4320,972.3370,979.3040,965.9390,469332268,2555290412.0000,0.000000,1.071586
2005-02-17,971.8380,977.2720,977.4400,964.3240,403195849,2081885379.0000,0.000000,0.507540
2005-02-18,977.1200,964.7690,977.1200,964.5540,411281145,2134898913.0000,0.000000,-1.279377
2005-02-21,965.0010,981.8190,981.8870,964.4710,476520314,2568576863.0000,0.000000,1.767261
2005-02-22,982.4180,1007.6880,1008.6710,980.5050,957578905,5328306279.0000,0.000000,2.634805
2005-02-23,1008.2930,1019.2580,1023.3300,1002.8010,1020182334,5822771921.0000,0.000000,1.148174
2005-02-24,1018.2920,1024.4460,1024.8730,1012.4450,868323283,4874675166.0000,0.000000,0.509003
2005-02-25,1024.5690,1024.1180,1035.4740,1023.7440,965076125,5608389732.0000,0.000000,-0.032018
2005-02-28,1023.1910,1020.8470,1026.0370,1014.9410,702805156,4174609104.0000,0.000000,-0.319402
2005-03-01,1020.5950,1021.1620,1023.9600,1011.5610,667563690,3803211754.0000,0.000000,0.030857
2005-03-02,1021.3570,1006.1480,1028.3290,1005.3350,745797116,4197819828.0000,0.000000,-1.470284
2005-03-03,1004.1000,1011.2880,1011.7000,996.3620,537249418,2991525954.0000,0.000000,0.510861
2005-03-04,1011.2000,1003.2100,1012.6650,1001.8480,452518936,2551598958.0000,0.000000,-0.798784
2005-03-07,1004.3410,1006.9530,1008.3560,1001.8610,447514053,2595513439.0000,0.000000,0.373100
2005-03-08,1007.6840,1029.4570,1029.4570,1007.6840,718700799,4502177472.0000,0.000000,2.234864
2005-03-09,1031.6020,1032.5500,1034.6180,1024.8900,825782273,5012633412.0000,0.000000,0.300451
