date,open,close,high,low,volume,amount,turn,pctChg
2005-01-04,994.7700,982.7940,994.7700,980.6600,741286894,4431977400.0000,0.000000,0.000000
2005-01-05,981.5800,992.5640,997.3200,979.8800,711910898,4529208200.0000,0.000000,0.994107
2005-01-06,993.3300,983.1740,993.7900,980.3300,628802905,3921015400.0000,0.000000,-0.946036
2005-01-07,983.0500,983.9580,995.7100,979.8100,729869409,4737469400.0000,0.000000,0.079741
2005-01-10,983.7600,993.8790,993.9600,979.7900,579169799,3762932900.0000,0.000000,1.008277
2005-01-11,994.1900,997.1350,999.5500,991.0900,584907998,3704076700.0000,0.000000,0.327603
2005-01-12,996.6500,996.7480,996.9800,989.2600,501452509,3093299700.0000,0.000000,-0.038814
2005-01-13,996.0800,996.8770,999.4700,992.7000,604406584,3842173300.0000,0.000000,0.012945
2005-01-14,996.6200,988.3060,1006.4600,987.2300,729784238,4162921200.0000,0.000000,-0.859784
2005-01-17,979.1100,967.4520,981.5300,965.0800,728818876,4249807800.0000,0.000000,-2.110075
2005-01-18,967.3700,974.6890,974.8700,960.2900,731184782,4117944100.0000,0.000000,0.748047
2005-01-19,974.3300,967.2100,974.3300,965.2600,633809119,3427951300.0000,0.000000,-0.767322
2005-01-20,963.2100,956.2450,963.2100,952.2300,772710670,4399350600.0000,0.000000,-1.133676
2005-01-21,954.4600,982.6040,984.2700,943.4400,1445005985,8152086100.0000,0.000000,2.756512
2005-01-24,1001.8500,998.1330,1001.8500,986.2400,1435946161,8360161500.0000,0.000000,1.580392
2005-01-25,995.6400,997.7750,997.9500,985.2400,986252911,6157022400.0000,0.000000,-0.035864
2005-01-26,995.7800,989.9280,999.4700,988.4800,766329017,4719440400.0000,0.000000,-0.786454
2005-01-27,987.3400,974.6310,987.7000,973.7700,694536497,4094398900.0000,0.000000,-1.545264
2005-01-28,974.6300,969.2090,975.6200,965.2100,574880738,3280950300.0000,0.000000,-0.556313
2005-01-31,965.7900,954.8790,965.7900,953.1400,678870643,3863573600.0000,0.000000,-1.478521
2005-02-01,953.3300,955.9510,965.4800,952.7400,743306676,4275706800.0000,0.000000,0.112261
2005-02-02,956.7000,1006.9130,1006.9300,956.7000,1705733857,10202904300.0000,0.000000,5.331030
2005-02-03,1005.5600,993.2150,1014.1900,992.1600,1697453933,10057310300.0000,0.000000,-1.360395
2005-02-04,992.2500,1016.8580,1021.0300,989.9400,1573621461,9549870600.0000,0.000000,2.380446
2005-02-16,1023.3200,1023.5840,1033.2500,1018.4900,1213129305,7438168200.0000,0.000000,0.661451
2005-02-17,1024.4300,1020.6060,1024.4300,1010.4800,896829766,5513063300.0000,0.000000,-0.290935
2005-02-18,1020.1200,1006.0550,1021.2000,1005.6300,813993936,4817732100.0000,0.000000,-1.425724
2005-02-21,1006.6900,1025.6330,1025.6600,1006.6900,988609416,6052394900.0000,0.000000,1.946023
2005-02-22,1026.8400,1046.7440,1048.6800,1024.5300,1793784231,10922776800.0000,0.000000,2.058335
2005-02-23,1046.8100,1043.9440,1049.6100,1036.6300,1869692971,11231940700.0000,0.000000,-0.267501
2005-02-24,1042.2500,1045.4600,1045.9600,1034.7300,1468178853,8993752200.0000,0.000000,0.145218
2005-02-25,1046.2700,1046.7610,1059.4800,1045.9800,1817000338,11489961200.0000,0.000000,0.124445
2005-02-28,1046.2100,1039.9890,1048.2800,1035.0400,1297104604,8190101300.0000,0.000000,-0.646945
2005-03-01,1039.3500,1035.9340,1042.7400,1031.1700,996209016,6288790700.0000,0.000000,-0.389913
2005-03-02,1036.3700,1021.3200,1045.7600,1021.0000,1422513553,8971307900.0000,0.000000,-1.410703
2005-03-03,1019.8800,1027.7100,1028.4000,1014.7500,920308564,5582812000.0000,0.000000,0.625656
2005-03-04,1027.9300,1023.6670,1031.8500,1022.1800,817364167,5383868100.0000,0.000000,-0.393396
2005-03-07,1024.4800,1029.8710,1031.3400,1024.4800,793294979,5316473200.0000,0.000000,0.606054
2005-03-08,1033.7900,1048.9870,1049.2900,1032.8500,1429579380,9851274600.0000,0.000000,1.856164
2005-03-09,1051.2600,1046.5440,1054.6400,1041.9800,1532748839,9877624300.0000,0.000000,-0.232902
2005-03-10,1046.6900,1022.4130,1046.6900,1019.6300,1329595333,8380547700.0000,0.000000,-2.305772
2005-03-11,1021.0800,1027.4290,1028.1200,1016.9300,1147638146,7654557000.0000,0.000000,0.490597
2005-03-14,1027.1800,1031.0260,1041.5700,1014.9300,1446608937,10229428900.0000,0.000000,0.350102
2005-03-15,1030.8600,1013.5230,1030.9400,1011.6400,1200749274,8091209200.0000,0.000000,-1.697628
2005-03-16,1011.8500,1003.0650,1012.2000,995.9700,1062278283,7153745900.0000,0.000000,-1.031847
2005-03-17,1001.9700,992.8630,1004.8200,992.1200,996901108,6535061300.0000,0.000000,-1.017085
2005-03-18,991.8900,978.6650,996.4000,975.7100,965205964,6314991200.0000,0.000000,-1.430006
