date,open,close,high,low,volume,amount,turn,pctChg
2003-11-18,1.8796657600,1.8645801600,1.9550937600,1.8434603200,753863103,4693850007.0000,58.927781,43.720920
2003-11-19,1.8585459200,1.8826828800,1.8947513600,1.8555288000,96487383,601303012.0000,7.542201,0.970000
2003-11-20,1.8796657600,1.9158712000,1.9158712000,1.8675972800,80413119,504194744.0000,6.285712,1.760000
2003-11-21,1.9188883200,1.9068198400,1.9701793600,1.9068198400,83514726,535389773.0000,6.528158,-0.470000
2003-11-24,1.9068198400,2.0063848000,2.0124190400,1.9068198400,67664675,439502309.0000,5.289195,5.220000
2003-11-25,2.0063848000,1.9943163200,2.0305217600,1.9792307200,73092530,486006595.0000,5.713478,-0.600000
2003-11-26,1.9943163200,1.9973334400,2.0305217600,1.9792307200,30557854,202771302.0000,2.388639,0.150000
2003-11-27,1.9973334400,2.0094019200,2.0244875200,1.9822478400,34184475,227201858.0000,2.672123,0.600000
2003-11-28,2.0124190400,2.0576758400,2.0697443200,2.0124190400,46420361,315038270.0000,3.628575,2.400000
2003-12-01,2.0576758400,2.1119840000,2.1180182400,2.0546587200,60715269,422053736.0000,4.745976,2.640000
2003-12-02,2.1180182400,2.1119840000,2.1300867200,2.1029326400,49673663,348166234.0000,3.882878,0.000000
2003-12-03,2.1119840000,2.2266345600,2.3201652800,2.1089668800,123634920,899776595.0000,9.664263,5.430000
2003-12-04,2.2266345600,2.2507715200,2.2839598400,2.2115489600,80532968,600057588.0000,6.295081,1.080000
2003-12-05,2.2537886400,2.2537886400,2.2779256000,2.2085318400,65851201,488630103.0000,5.147440,0.130000
2003-12-08,2.2537886400,2.2206003200,2.2749084800,2.2175832000,41100554,305294846.0000,3.212738,-1.470000
2003-12-09,2.2206003200,2.2779256000,2.2839598400,2.2206003200,53130054,397336339.0000,4.153057,2.580000
2003-12-10,2.2869769600,2.3322337600,2.3352508800,2.2779256000,62604522,479721080.0000,4.893654,2.380000
2003-12-11,2.3412851200,2.2930112000,2.3593878400,2.2598228800,81716704,623975918.0000,6.387611,-1.680000
2003-12-12,2.2809427200,2.2869769600,2.2990454400,2.2568057600,36584294,275712415.0000,2.859712,-0.260000
2003-12-15,2.2869769600,2.2658571200,2.2899940800,2.2537886400,30550542,229670112.0000,2.388067,-0.920000
2003-12-16,2.2628400000,2.3141310400,2.3231824000,2.2326688000,54410022,410789389.0000,4.253109,2.130000
2003-12-17,2.2960283200,2.2809427200,2.3473193600,2.2779256000,48720370,373294964.0000,3.808362,-1.430000
2003-12-18,2.2718913600,2.3322337600,2.3473193600,2.2658571200,34982281,267809645.0000,2.734486,2.250000
2003-12-19,2.3443022400,2.4136960000,2.4408500800,2.3412851200,86725345,685083798.0000,6.779125,3.490000
2003-12-22,2.4287816000,2.5947232000,2.6248944000,2.4046446400,95295105,791970326.0000,7.449004,7.500000
2003-12-23,2.5947232000,2.6218772800,2.6369628800,2.5766204800,62355811,539230129.0000,4.874213,1.050000
2003-12-24,2.6218772800,2.6731683200,2.6761854400,2.5977403200,50427107,438304465.0000,3.941773,1.960000
2003-12-25,2.6822196800,2.6641169600,2.7304936000,2.6279115200,59412995,528050103.0000,4.644180,-0.340000
