date,open,close,high,low,volume,amount,turn,pctChg
2018-06-11,15.4740119800,18.5667628000,18.5667628000,15.4740119800,78829,2845471.8000,0.036286,43.993640
2018-06-12,20.4234390800,20.4234390800,20.4234390800,20.4234390800,26579,1058375.7800,0.012235,9.999997
2018-06-13,22.4647572000,22.4647572000,22.4647572000,22.4647572000,45030,1972314.0000,0.020728,9.994976
2018-06-14,24.7112329200,24.7112329200,24.7112329200,24.7112329200,74267,3578184.0600,0.034186,10.000000
2018-06-15,27.1833820000,27.1833820000,27.1833820000,27.1833820000,256510,13595030.0000,0.118075,10.004150
2018-06-19,29.9017202000,29.9017202000,29.9017202000,29.9017202000,1117428,65146052.4000,0.514366,9.999999
2018-06-20,32.8918922200,32.8918922200,32.8918922200,32.8918922200,1310382,84034797.6600,0.603185,9.999996
2018-06-21,36.1795427600,36.1795427600,36.1795427600,36.1795427600,1231660,86881296.4000,0.566948,9.995328
2018-06-22,36.9283680000,34.1330957000,37.2925227400,32.5636400600,128170599,8599728955.5200,58.998525,-5.656362
2018-06-25,34.9793708000,35.4871358600,36.7232104000,34.4767346800,69981999,4868406844.0200,32.213587,3.966941
2018-06-26,34.8203736600,38.0464769200,38.7491417000,34.4151874000,62553547,4537098812.2500,28.794178,7.212021
2018-06-27,38.0618637400,38.0003164600,38.4311474200,36.8104023800,44138862,3241043472.7300,20.317669,-0.121332
2018-06-28,37.5951302000,34.9844997400,38.6670786600,34.5895713600,53080981,3770134240.6900,24.433838,-7.936291
2018-06-29,35.2255599200,36.9078522400,38.1080242000,34.7588263800,45698575,3231958793.3500,21.035624,5.497727
2018-07-02,36.3077662600,35.9025800000,36.6616631200,35.4461043400,32470182,2278646004.6800,14.946430,-2.723734
2018-07-03,36.0051588000,35.5384252600,36.5129238600,33.7740699000,33910064,2337186967.5600,15.609225,-1.014284
2018-07-04,34.9537261000,33.8099724800,34.9537261000,33.5945570000,26282197,1749919477.5500,12.098023,-4.863621
2018-07-05,33.3381100000,35.2922361400,36.8668207200,33.2765627200,34337783,2343510066.9600,15.806110,4.384101
2018-07-06,35.2922361400,36.3539267200,38.2106030000,35.2358178000,49213427,3511358606.6200,22.653554,3.008283
2018-07-09,36.3128952000,36.6975657000,36.7078235800,35.4461043400,31068979,2183986505.8800,14.301439,0.945268
2018-07-10,38.4670500000,37.1335256000,38.9235256600,36.7539840400,36484401,2666043239.8500,16.794225,1.187978
2018-07-11,35.9025800000,39.5236116400,40.4878523600,35.6871645200,49120805,3695050773.7400,22.610919,6.436458
2018-07-12,38.9953308200,43.4780243800,43.4780243800,38.7747864000,43085212,3430182907.1400,19.832660,10.005190
2018-07-13,42.0573080000,42.4163338000,45.3757321800,41.5598008200,48202055,4049051405.3000,22.188007,-2.441901
2018-07-16,42.4163338000,43.0318066000,43.4677665000,41.0828094000,29515196,2439742028.8000,13.586213,1.451033
2018-07-17,42.6266203400,42.2009183200,43.1702879800,40.8571360400,28615349,2336837084.7800,13.172002,-1.930873
2018-07-18,42.2009183200,42.2009183200,43.2728667800,41.0879383400,27113839,2233771784.9600,12.480838,0.000000
2018-07-19,42.0573080000,42.5137836600,43.6729241000,41.3751589800,25074483,2089886953.7600,11.542097,0.741372
2018-07-20,42.3137550000,46.6374514200,46.7656749200,42.0624369400,42695635,3750334637.7700,19.653333,9.699603
2018-07-23,45.6475660000,45.4526662800,46.4374227600,44.9038697000,25014352,2223986140.5700,11.514418,-2.540413
2018-07-24,45.3911190000,47.0682823800,47.6786262400,44.8782250000,26501025,2395962685.5600,12.198752,3.554495
2018-07-25,46.6733540000,42.3599154600,48.7659615200,42.3599154600,45719348,4027958763.7200,21.045186,-10.003270
2018-07-26,41.2879670000,40.1083108000,42.3650444000,39.2876804000,39286999,3115796617.3700,18.084296,-5.315413
2018-07-27,40.0057320000,39.0055887000,40.3339841600,38.8106889800,22809584,1748397062.2800,10.499536,-2.749353
2018-07-30,39.2363910000,39.4159039000,39.6672219600,38.4670500000,18041846,1377263289.2600,8.304887,1.051933
2018-07-31,39.3800013200,37.0412046800,39.3851302600,36.1641559400,28128307,2055880224.9800,12.947811,-6.024720
2018-08-01,36.9283680000,36.6308894800,37.7643852200,36.4257318800,17933649,1298707855.0100,8.255082,-1.107731
2018-08-02,36.1077376000,37.2155886400,37.5900012600,35.9282247000,19853529,1429095207.7600,9.138827,1.596191
2018-08-03,36.8052734400,35.6974224000,37.5130671600,35.2153020400,17288867,1223071469.5100,7.958281,-4.079381
2018-08-06,35.3896860000,35.7230671000,36.4565055200,34.6716344000,15706945,1096989857.8300,7.230103,0.071843
2018-08-07,36.1487691200,37.8464482600,38.1900872400,35.9025800000,19964947,1445537173.0500,9.190114,5.944005
2018-08-08,37.6977090000,36.6821788800,37.7387405200,36.4718923400,14770817,1067594665.9000,6.799191,-3.076303
2018-08-09,36.6206316000,37.9849296400,38.8055600400,36.0564482000,18474864,1364797399.7900,8.504210,3.551455
2018-08-10,37.7489984000,38.1798293600,38.2054740600,37.4515198800,11673860,862092551.3000,5.373623,0.513104
2018-08-13,37.4412620000,37.9592849400,38.0516058600,36.9437548200,10949557,800760025.7600,5.040218,-0.577647
2018-08-14,37.8515772000,36.7078235800,37.8977376600,36.6411473600,11735618,847545777.6500,5.402051,-3.296855
2018-08-15,36.4052161200,35.4461043400,36.9437548200,35.3896860000,12916705,905177224.1000,5.945720,-3.437193
2018-08-16,34.8767920000,35.3845570600,35.8410327200,33.9587117400,10715293,733358634.7300,4.932383,-0.173640
2018-08-17,35.8512906000,34.9588550400,36.1641559400,34.9280814000,8224837,570722229.1500,3.785995,-1.203065
2018-08-20,34.8152447200,35.3640413000,35.4461043400,33.8510040000,10922929,739769193.6000,5.027960,1.159028
2018-08-21,35.3742991800,35.6820355800,36.3026373200,34.8870498800,10208839,709924230.9300,4.699256,0.899206
2018-08-22,35.4204596400,34.6049581800,36.0308035000,34.4716057400,8999917,617772713.8300,4.142774,-3.018540
2018-08-23,34.6972791000,35.4409754000,35.7230671000,34.4049295200,12193136,835080332.4100,5.612653,2.415884
2018-08-24,34.7793421400,35.2871072000,36.5180528000,34.7229238000,13360932,931622755.9000,6.150204,-0.434147
2018-08-27,35.1742705200,36.1385112400,36.4052161200,34.8203736600,12915092,900979594.9700,5.944978,2.412785
2018-08-28,36.2154453400,37.4463909400,38.1182820800,36.1077376000,18813962,1362031257.3400,8.660301,3.619079
2018-08-29,37.2361044000,37.4515198800,37.6977090000,36.8309181400,10333837,749871852.1700,4.756794,0.013689
2018-08-30,37.5387118600,35.8974510600,37.9541560000,35.7128092200,13681809,979226463.1000,6.297907,-4.149547
2018-08-31,35.1281100600,33.5945570000,35.4922648000,33.3432389400,15901213,1072916773.7900,7.319527,-6.415199
2018-09-03,33.2355312000,32.4456744400,33.2355312000,31.2865340000,15910805,998632539.9300,7.323942,-3.419850
2018-09-04,32.4149008000,32.7482819000,32.9534395000,32.1892274400,8067558,512634921.2000,3.713598,0.932659
2018-09-05,32.6200584000,31.4865626600,32.8149581200,31.4865626600,9689281,604400369.0500,4.460097,-3.852779
2018-09-06,31.0813764000,31.7173649600,32.1328091000,30.9377660800,8854073,547542957.3700,4.075640,0.733020
2018-09-07,32.0507460600,32.4764480800,33.2765627200,31.9071357400,12748586,813256860.6500,5.868333,2.393272
2018-09-10,32.5995426400,31.4660469000,32.7175082600,31.2865340000,6545100,404054151.5300,3.012791,-3.111183
2018-09-11,31.4916916000,32.0917775800,32.3943850400,31.4916916000,6629327,413926189.5400,3.051562,1.988592
2018-09-12,32.2097432000,33.0816630000,33.4663335000,32.1122933400,12115986,779904478.8800,5.577139,3.084546
2018-09-13,33.6663621600,33.2355312000,33.9022934000,32.5123506600,9852036,637747213.6600,4.535015,0.465121
2018-09-14,34.0048722000,33.7997146000,35.3896860000,33.7791988400,15831828,1068356171.1700,7.287588,1.697528
2018-09-17,33.1175655800,32.6764767400,33.5842991200,32.6149294600,7131416,460645757.5500,3.282680,-3.323220
2018-09-18,32.3123220000,34.0356458400,34.0612905400,32.3071930600,7789233,505525626.4400,3.585481,4.159475
2018-09-19,33.8458750600,34.5331530200,35.1640126400,33.5689123000,9502594,637368899.6500,4.374163,1.461726
2018-09-20,34.3690269400,34.8716630600,35.8512906000,34.3690269400,10200717,703066410.1400,4.695517,0.980241
2018-09-21,35.1999152200,35.4871358600,35.8512906000,34.8049868400,7748207,535412407.3200,3.566596,1.764972
2018-09-25,35.0819496000,35.0460470200,35.5435542000,34.7280527400,4204191,287948499.4400,1.935242,-1.242955
2018-09-26,35.2153020400,37.3848436600,37.6977090000,35.2153020400,16061574,1149820351.0900,7.393343,6.673492
2018-09-27,37.0565915000,37.2104597000,38.4414053000,36.7744998000,13694667,1005558177.3400,6.303826,-0.466451
