date,open,close,high,low,volume,amount,turn,pctChg
2001-08-27,4.4997934100,4.6354000500,4.9261719800,4.2833443500,40631800,1410347179.0000,56.827692,13.252630
2001-08-28,4.5623810900,4.8062122600,4.8244670000,4.5128325100,12964779,463463143.0000,18.132558,3.684955
2001-08-29,4.8218591800,4.7436245800,4.8244670000,4.7071151000,5325275,194689620.0000,7.447937,-1.302223
2001-08-30,4.7305854800,4.8375061000,4.8909664100,4.6940760000,4801306,177558558.0000,6.715113,1.979102
2001-08-31,4.8440256500,4.8257709100,4.9053094200,4.7983888000,2323148,86231237.0000,3.249158,-0.242588
2001-09-03,4.8505452000,4.8231630900,4.8987898700,4.8049083500,2211209,82129438.0000,3.092600,-0.054030
2001-09-04,4.8257709100,4.8844468600,4.9652892800,4.8088200800,3700677,139204380.0000,5.175772,1.270607
2001-09-05,4.9040055100,4.8818390400,4.9444267200,4.8518491100,2606695,97796243.0000,3.645727,-0.053392
2001-09-06,4.8701038500,4.7853497000,4.8857507700,4.7605754100,2899703,107078403.0000,4.055529,-1.976490
2001-09-07,4.7592715000,4.6523508800,4.8179474500,4.6484391500,3155225,113868743.0000,4.412902,-2.779293
2001-09-10,4.6158414000,4.7853497000,4.8049083500,4.5649889100,1887889,68406471.0000,2.640404,2.858746
2001-09-11,4.7983888000,4.7318893900,4.8179474500,4.7201542000,1139081,41579698.0000,1.593120,-1.117166
2001-09-12,4.6067140300,4.6914681800,4.7201542000,4.6028023000,2504519,89421380.0000,3.502824,-0.854234
2001-09-13,4.6953799100,4.6797329900,4.7331933000,4.6549587000,1098668,39512775.0000,1.536599,-0.250139
2001-09-14,4.6953799100,4.7331933000,4.7592715000,4.6679978000,767283,27740691.0000,1.073123,1.142379
2001-09-17,4.7045072800,4.6732134400,4.7318893900,4.6288805000,898397,32183249.0000,1.256499,-1.267215
2001-09-18,4.6784290800,4.7266737500,4.7657910500,4.6745173500,1077326,39006062.0000,1.506750,1.143973
2001-09-19,4.7331933000,4.8140357200,4.8140357200,4.7018994600,865053,31597369.0000,1.209864,1.848271
2001-09-20,4.8114279000,4.7736145100,4.8309865500,4.7592715000,1117335,41189577.0000,1.562706,-0.839647
2001-09-21,4.7305854800,4.7018994600,4.7723106000,4.6940760000,787972,28638681.0000,1.102059,-1.502320
2001-09-24,4.7018994600,4.7005955500,4.7449284900,4.6940760000,406860,14703096.0000,0.569035,-0.027737
2001-09-25,4.7305854800,4.7240659300,4.7644871400,4.7005955500,348845,12639790.0000,0.487895,0.499307
2001-09-26,4.7084190100,4.7045072800,4.7566636800,4.6940760000,495626,17892565.0000,0.693183,-0.414015
2001-09-27,4.7045072800,4.7853497000,4.8218591800,4.6940760000,877804,32085131.0000,1.227698,1.718400
2001-09-28,4.8114279000,4.8362021900,4.8505452000,4.7592715000,1708847,63169143.0000,2.389996,1.062669
2001-10-08,4.8244670000,4.7697027800,4.8479373800,4.7266737500,655217,24091149.0000,0.916387,-1.375029
2001-10-09,4.7723106000,4.8635843000,4.8896625000,4.7723106000,955852,35498605.0000,1.336856,1.968282
2001-10-10,4.8635843000,4.7071151000,4.8805351300,4.6979877300,1754869,63956753.0000,2.454362,-3.217160
2001-10-11,4.6953799100,4.6614782500,4.7592715000,4.6484391500,1230684,44319896.0000,1.721236,-0.969525
2001-10-12,4.6810369000,4.6940760000,4.7788301500,4.4398135500,2001070,70897331.0000,2.798699,0.699301
2001-10-15,4.6810369000,4.6028023000,4.6940760000,4.5506459000,975531,34501714.0000,1.364379,-1.944447
2001-10-16,4.5806358300,4.5376068000,4.6679978000,4.5310872500,831991,29068173.0000,1.163624,-1.416431
2001-10-17,4.5363028900,4.4593722000,4.5389107100,4.4202549000,1250768,42766283.0000,1.749326,-1.724134
2001-10-18,4.4593722000,4.4385096400,4.5193520600,4.4215588100,498346,16999063.0000,0.696987,-0.467836
2001-10-19,4.4332940000,4.3680985000,4.4528526500,4.3042069100,1568754,52422843.0000,2.194062,-1.586372
2001-10-22,4.3420203000,4.2755208900,4.3941767000,4.2637857000,976065,32268911.0000,1.365126,-2.119400
2001-10-23,4.6940760000,4.7032033700,4.7032033700,4.5649889100,4059824,145710538.0000,5.678076,10.003050
2001-10-24,4.7957809800,4.6758212600,4.7983888000,4.5780280100,4068239,147001102.0000,5.689845,-0.582199
2001-10-25,4.6549587000,4.5480380800,4.6679978000,4.5454302600,1603686,56527283.0000,2.242917,-2.732849
2001-10-26,4.5245677000,4.5636850000,4.5767241000,4.4880582200,900220,31280145.0000,1.259049,0.344034
2001-10-29,4.5480380800,4.6028023000,4.6458313300,4.5480380800,458786,16205054.0000,0.641659,0.857141
2001-10-30,4.5962827500,4.5636850000,4.6275765900,4.5532537200,348417,12214728.0000,0.487297,-0.849856
2001-10-31,4.5636850000,4.5702045500,4.5754201900,4.5376068000,476247,16633345.0000,0.666080,0.142855
2001-11-01,4.5702045500,4.6380078700,4.6471352400,4.5571654500,664303,23511580.0000,0.929095,1.483596
2001-11-02,4.6001944800,4.6106257600,4.6575665200,4.5845475600,343520,12189356.0000,0.480448,-0.590383
2001-11-05,4.5636850000,4.5506459000,4.5975866600,4.5245677000,369076,12879737.0000,0.516190,-1.300902
2001-11-06,4.5376068000,4.5832436500,4.6028023000,4.5271755200,260931,9138666.0000,0.364938,0.716332
2001-11-07,4.5636850000,4.4137353500,4.5636850000,4.4072158000,932538,31791131.0000,1.304249,-3.698444
2001-11-08,4.3485398500,4.3941767000,4.4189509900,4.3002951800,740216,24682905.0000,1.035267,-0.443125
2001-11-09,4.3941767000,4.4528526500,4.4958816800,4.3472359400,376076,12737203.0000,0.525980,1.335314
2001-11-12,4.4854504000,4.3811376000,4.4854504000,4.3707063200,268333,9088858.0000,0.375291,-1.610551
2001-11-13,4.3394124800,4.3863532400,4.3941767000,4.3302851100,267381,8965279.0000,0.373959,0.119050
2001-11-14,4.3863532400,4.3876571500,4.4332940000,4.3863532400,76900,2599260.0000,0.107552,0.029733
2001-11-15,4.3876571500,4.3915688800,4.4072158000,4.3680985000,219345,7378238.0000,0.306776,0.089149
2001-11-16,4.7201542000,4.4450291900,4.7201542000,4.4319900900,995470,34600364.0000,1.392266,1.217339
2001-11-19,4.4528526500,4.5702045500,4.5741162800,4.4463331000,373461,12950484.0000,0.522323,2.816072
2001-11-20,4.5897632000,4.6132335800,4.6327922300,4.5506459000,806908,28559195.0000,1.128543,0.941517
