date,close
1990-12-19,99.9879
1990-12-20,104.4062
1990-12-21,109.1552
1990-12-24,114.5852
1990-12-25,120.296
1990-12-26,125.3275
1990-12-27,125.3474
1990-12-28,126.528
1990-12-31,127.6988
1991-01-02,128.9397
1991-01-03,130.251
1991-01-04,131.5624
1991-01-07,132.1935
1991-01-08,132.8246
1991-01-09,133.4958
1991-01-10,134.1372
1991-01-11,134.7786
1991-01-14,134.8594
1991-01-15,134.9402
1991-01-16,134.4502
1991-01-17,134.4708
1991-01-18,134.4715
1991-01-21,134.4822
1991-01-22,133.9719
1991-01-23,133.4315
1991-01-24,132.881
1991-01-25,132.3304
1991-01-28,131.7496
1991-01-29,131.249
1991-01-30,130.7482
1991-01-31,130.2875
1991-02-01,129.8367
1991-02-04,129.3859
1991-02-05,128.9249
1991-02-06,129.4966
1991-02-07,130.1587
1991-02-08,130.7607
1991-02-11,131.3628
1991-02-12,131.7544
1991-02-13,132.3366
1991-02-14,132.959
1991-02-19,133.5715
1991-02-20,134.1239
1991-02-21,134.7466
1991-02-22,135.3494
1991-02-25,134.8884
1991-02-26,134.4274
1991-02-27,133.9764
1991-02-28,133.5253
1991-03-01,133.054
1991-03-04,132.5224
1991-03-05,132.0008
1991-03-06,131.4892
1991-03-07,130.9674
1991-03-08,130.4555
1991-03-11,129.8834
1991-03-12,129.3513
1991-03-13,126.7297
1991-03-14,126.2174
1991-03-15,125.7653
1991-03-18,125.3131
1991-03-19,124.8306
1991-03-20,124.2778
1991-03-21,123.745
1991-03-22,123.2522
1991-03-25,122.7594
1991-03-26,122.2666
1991-03-27,121.7736
1991-03-28,121.2705
1991-03-29,120.8578
1991-04-01,121.4104
1991-04-02,121.9028
1991-04-03,122.4153
1991-04-04,122.4351
1991-04-05,122.2637
1991-04-08,121.8208
1991-04-09,121.3576
1991-04-10,120.9044
1991-04-11,120.3908
1991-04-12,119.9676
1991-04-15,119.5344
1991-04-16,119.1111
1991-04-17,118.6777
1991-04-18,118.2341
1991-04-19,117.871
1991-04-22,117.4274
1991-04-23,116.9937
1991-04-24,116.6002
1991-04-25,116.1764
1991-04-26,116.3871
1991-04-29,115.5805
1991-04-30,114.7738
1991-05-02,113.9972
1991-05-03,113.2507
1991-05-06,112.4537
1991-05-07,111.6667
1991-05-08,110.8795
1991-05-09,110.1426
1991-05-10,109.3854
1991-05-13,108.6986
1991-05-14,108.0521
1991-05-15,107.4357
1991-05-16,106.6377
1991-05-17,107.6342
1991-05-20,108.7216
1991-05-21,109.7285
1991-05-22,109.1725
1991-05-23,110.0182
1991-05-24,111.0356
1991-05-27,111.6294
1991-05-28,112.6672
1991-05-29,113.7556
1991-05-30,114.8442
1991-05-31,115.8724
1991-06-03,117.0319
1991-06-04,118.2018
1991-06-05,119.2708
1991-06-06,120.4713
1991-06-07,121.6114
1991-06-10,122.8324
1991-06-11,124.0738
1991-06-12,125.3154
1991-06-13,126.5673
1991-06-14,125.7594
1991-06-17,127.0216
1991-06-18,128.3043
1991-06-19,129.5871
1991-06-20,130.8903
1991-06-21,132.2038
1991-06-24,133.5378
1991-06-25,134.882
1991-06-26,136.2467
1991-06-27,137.6318
1991-06-28,139.0273
1991-07-01,138.3207
1991-07-02,137.4321
1991-07-03,136.7456
1991-07-04,138.1313
1991-07-05,137.4649
1991-07-08,136.7882
1991-07-09,136.152
1991-07-10,135.5055
1991-07-11,134.8993
1991-07-12,134.3234
1991-07-15,134.678
1991-07-16,136.034
1991-07-17,137.4004
1991-07-18,138.7872
1991-07-19,138.3227
1991-07-22,139.72
1991-07-23,141.0668
1991-07-24,142.3835
1991-07-25,141.8989
1991-07-26,142.3859
1991-07-29,143.2677
1991-07-30,144.1599
1991-07-31,145.5988
1991-08-01,147.0684
1991-08-02,148.5382
1991-08-05,150.0386
1991-08-06,151.5393
1991-08-07,153.0705
1991-08-08,154.5919
1991-08-09,156.1135
1991-08-12,157.5847
1991-08-13,159.1473
1991-08-14,160.7406
1991-08-15,162.3544
1991-08-16,163.7759
1991-08-19,165.4206
1991-08-20,167.0858
1991-08-21,168.7715
1991-08-22,170.4778
1991-08-23,172.1641
1991-08-26,173.9013
1991-08-27,175.6185
1991-08-28,177.3867
1991-08-29,179.1653
1991-08-30,180.9746
1991-09-02,182.8045
1991-09-03,184.5941
1991-09-04,186.3536
1991-09-05,188.2148
1991-09-06,190.1067
1991-09-09,192.0293
1991-09-10,191.1212
1991-09-11,190.0099
1991-09-12,189.0101
1991-09-13,190.6186
1991-09-16,192.5319
1991-09-17,191.5219
1991-09-18,190.5015
1991-09-19,189.7552
1991-09-20,188.7955
1991-09-23,187.8762
1991-09-24,186.9568
1991-09-25,186.0678
1991-09-26,185.209
1991-09-27,184.7057
1991-09-30,183.806
1991-10-03,185.4055
1991-10-04,187.2592
1991-10-07,189.0117
1991-10-08,190.5408
1991-10-09,192.2124
1991-10-10,194.1486
1991-10-11,196.0342
1991-10-14,197.8998
1991-10-15,199.8877
1991-10-16,201.8963
1991-10-17,203.8848
1991-10-18,205.9346
1991-10-21,208.0051
1991-10-22,210.0556
1991-10-23,211.8217
1991-10-24,213.6897
1991-10-25,215.5275
1991-10-28,217.7013
1991-10-29,219.5499
1991-10-30,220.2287
1991-10-31,222.4542
1991-11-01,224.6293
1991-11-04,226.7334
1991-11-05,228.6648
1991-11-06,230.9528
1991-11-07,233.058
1991-11-08,235.4078
1991-11-11,237.7986
1991-11-12,240.1084
1991-11-13,241.0134
1991-11-14,241.8268
1991-11-15,242.6608
1991-11-18,245.0939
1991-11-19,246.7635
1991-11-20,249.0853
1991-11-21,250.949
1991-11-22,253.2307
1991-11-25,255.6147
1991-11-26,257.7952
1991-11-27,260.343
1991-11-28,262.3001
1991-11-29,264.6142
1991-12-02,267.2752
1991-12-03,269.9672
1991-12-04,270.9673
1991-12-05,271.8962
1991-12-06,274.6606
1991-12-09,275.6206
1991-12-10,278.3347
1991-12-11,279.1727
1991-12-12,279.9088
1991-12-13,282.573
1991-12-16,283.4625
1991-12-17,284.3317
1991-12-18,285.2011
1991-12-19,285.8972
1991-12-20,288.6343
1991-12-23,291.5351
1991-12-24,292.1399
1991-12-25,293.1124
1991-12-26,294.0339
1991-12-27,296.936
1991-12-30,297.8376
1991-12-31,298.9231
1992-01-02,299.9679
1992-01-03,302.8203
1992-01-06,304.029
1992-01-07,305.1664
1992-01-08,306.0996
